method,n,seed,instance,status,objective,gap_%,time_s,n_items,n_truck,n_drone,n_rendv,profit,rental,arrival,W_final,W_capacity,W_actual,evals,time_to_best_s,reheats,collected_node_ids,truck_node_ids,drone_node_ids,rendezvous_node_ids,truck_route_node_ids,drone_arc_node_ids,W_sequence
SA,10,0,bench_10_4,ok,-36395.6646,,30.0045,7,4,3,4,6408.0,42803.6646,588.7712,7031.0,22750.0,10043.0,3338260,9.4415,83,"[7, 9, 10, 11, 6, 4, 8]","[7, 9, 10, 11]","[6, 4, 8]","[3, 7, 9, 1]","[1, 2, 3, 7, 9, 10, 11, 1]","[(1, 6), (6, 3), (3, 5), (5, 7), (7, 4), (4, 9), (9, 8), (8, 1)]","[(1, 0.0), (2, 0.0), (3, 0.0), (7, 1000.0), (9, 2003.0), (10, 4019.0), (11, 5023.0), (1, 6030.0)]"
SA,10,2,bench_10_4,ok,-36395.6646,,30.0045,7,4,3,4,6408.0,42803.6646,588.7712,7031.0,22750.0,10043.0,3306601,5.9481,82,"[7, 9, 10, 11, 6, 4, 8]","[7, 9, 10, 11]","[6, 4, 8]","[3, 7, 9, 1]","[1, 2, 3, 7, 9, 10, 11, 1]","[(1, 6), (6, 3), (3, 5), (5, 7), (7, 4), (4, 9), (9, 8), (8, 1)]","[(1, 0.0), (2, 0.0), (3, 0.0), (7, 1000.0), (9, 2003.0), (10, 4019.0), (11, 5023.0), (1, 6030.0)]"
SA,10,4,bench_10_4,ok,-36395.6646,,30.0046,7,4,3,4,6408.0,42803.6646,588.7712,7031.0,22750.0,10043.0,3415399,7.0352,85,"[7, 9, 10, 11, 6, 4, 8]","[7, 9, 10, 11]","[6, 4, 8]","[3, 7, 9, 1]","[1, 2, 3, 7, 9, 10, 11, 1]","[(1, 6), (6, 3), (3, 5), (5, 7), (7, 4), (4, 9), (9, 8), (8, 1)]","[(1, 0.0), (2, 0.0), (3, 0.0), (7, 1000.0), (9, 2003.0), (10, 4019.0), (11, 5023.0), (1, 6030.0)]"
SA,10,6,bench_10_4,ok,-36485.245,,30.0045,7,4,3,4,6143.0,42628.245,586.3583,7038.0,22750.0,10043.0,3330421,21.374,83,"[7, 9, 10, 11, 5, 4, 8]","[7, 9, 10, 11]","[5, 4, 8]","[3, 7, 9, 1]","[1, 2, 3, 7, 9, 10, 11, 1]","[(1, 6), (6, 3), (3, 5), (5, 7), (7, 4), (4, 9), (9, 8), (8, 1)]","[(1, 0.0), (2, 0.0), (3, 0.0), (7, 0.0), (9, 2010.0), (10, 4026.0), (11, 5030.0), (1, 6037.0)]"
SA,10,8,bench_10_4,ok,-36395.6646,,30.0045,7,4,3,4,6408.0,42803.6646,588.7712,7031.0,22750.0,10043.0,3385555,23.2763,84,"[7, 9, 10, 11, 6, 4, 8]","[7, 9, 10, 11]","[6, 4, 8]","[3, 7, 9, 1]","[1, 2, 3, 7, 9, 10, 11, 1]","[(1, 6), (6, 3), (3, 5), (5, 7), (7, 4), (4, 9), (9, 8), (8, 1)]","[(1, 0.0), (2, 0.0), (3, 0.0), (7, 1000.0), (9, 2003.0), (10, 4019.0), (11, 5023.0), (1, 6030.0)]"
SA,10,0,bench_10_5,ok,-32684.6289,,30.0045,7,4,3,4,6155.0,38839.6289,534.2452,7038.0,22750.0,10055.0,3362845,1.2113,83,"[6, 7, 2, 11, 4, 3, 10]","[6, 7, 2, 11]","[4, 3, 10]","[8, 6, 11, 1]","[1, 9, 8, 6, 7, 2, 11, 1]","[(1, 5), (5, 8), (8, 4), (4, 6), (6, 3), (3, 11), (11, 10), (10, 1)]","[(1, 0.0), (9, 0.0), (8, 0.0), (6, 0.0), (7, 2012.0), (2, 3018.0), (11, 4022.0), (1, 6036.0)]"
SA,10,2,bench_10_5,ok,-32684.6289,,30.0045,7,4,3,4,6155.0,38839.6289,534.2452,7038.0,22750.0,10055.0,3427651,0.5067,85,"[6, 7, 2, 11, 4, 3, 10]","[6, 7, 2, 11]","[4, 3, 10]","[8, 6, 11, 1]","[1, 9, 8, 6, 7, 2, 11, 1]","[(1, 5), (5, 8), (8, 4), (4, 6), (6, 3), (3, 11), (11, 10), (10, 1)]","[(1, 0.0), (9, 0.0), (8, 0.0), (6, 0.0), (7, 2012.0), (2, 3018.0), (11, 4022.0), (1, 6036.0)]"
SA,10,4,bench_10_5,ok,-32684.6289,,30.0046,7,4,3,4,6155.0,38839.6289,534.2452,7038.0,22750.0,10055.0,3344465,0.8795,83,"[6, 7, 2, 11, 4, 3, 10]","[6, 7, 2, 11]","[4, 3, 10]","[8, 6, 11, 1]","[1, 9, 8, 6, 7, 2, 11, 1]","[(1, 5), (5, 8), (8, 4), (4, 6), (6, 3), (3, 11), (11, 10), (10, 1)]","[(1, 0.0), (9, 0.0), (8, 0.0), (6, 0.0), (7, 2012.0), (2, 3018.0), (11, 4022.0), (1, 6036.0)]"
SA,10,6,bench_10_5,ok,-32684.6289,,30.0039,7,4,3,4,6155.0,38839.6289,534.2452,7038.0,22750.0,10055.0,3344433,0.5325,83,"[6, 7, 2, 11, 4, 3, 10]","[6, 7, 2, 11]","[4, 3, 10]","[8, 6, 11, 1]","[1, 9, 8, 6, 7, 2, 11, 1]","[(1, 5), (5, 8), (8, 4), (4, 6), (6, 3), (3, 11), (11, 10), (10, 1)]","[(1, 0.0), (9, 0.0), (8, 0.0), (6, 0.0), (7, 2012.0), (2, 3018.0), (11, 4022.0), (1, 6036.0)]"
SA,10,8,bench_10_5,ok,-32684.6289,,30.0045,7,4,3,4,6155.0,38839.6289,534.2452,7038.0,22750.0,10055.0,3351764,8.5868,83,"[6, 7, 2, 11, 4, 3, 10]","[6, 7, 2, 11]","[4, 3, 10]","[8, 6, 11, 1]","[1, 9, 8, 6, 7, 2, 11, 1]","[(1, 5), (5, 8), (8, 4), (4, 6), (6, 3), (3, 11), (11, 10), (10, 1)]","[(1, 0.0), (9, 0.0), (8, 0.0), (6, 0.0), (7, 2012.0), (2, 3018.0), (11, 4022.0), (1, 6036.0)]"
SA,15,0,bench_15_1,ok,-36462.3566,,120.0551,10,6,4,7,8562.0,45024.3566,619.3171,10043.0,34126.0,15068.0,10621362,49.1614,182,"[9, 6, 10, 4, 3, 2, 8, 7, 13, 15]","[9, 6, 10, 4, 3, 2]","[8, 7, 13, 15]","[16, 12, 9, 6, 10, 2, 1]","[1, 16, 12, 9, 6, 10, 4, 3, 2, 1]","[(1, 11), (11, 16), (16, 14), (14, 12), (12, 8), (8, 9), (9, 7), (7, 6), (6, 5), (5, 10), (10, 13), (13, 2), (2, 15), (15, 1)]","[(1, 0.0), (16, 0.0), (12, 0.0), (9, 0.0), (6, 2018.0), (10, 4021.0), (4, 5026.0), (3, 6034.0), (2, 7035.0), (1, 9041.0)]"
