method,dataset,n,layout,ED_frac,ED,d_max,instance,seed,status,objective,profit,rental,arrival,time_s,time_to_best_s,n_items,n_truck,n_drone,n_rendv,W_final,W_capacity,evals,reheats,error
VNS,ttd300,75,3,0.75,272.0,363.0,ttd300_n75_L3_f075,0,ok,-50557.1589,62794.0,113351.1589,2267.0232,978.2413,978.2412,73,61,12,12,73371.0,170628.0,7995545,,
VNS,ttd300,75,4,0.75,266.0,354.0,ttd300_n75_L4_f075,0,ok,-43173.103,62416.0,105589.103,2111.7821,975.0342,618.8474,74,62,12,12,74298.0,170628.0,10321351,,
SA,ttd300,75,5,0.75,298.0,398.0,ttd300_n75_L5_f075,0,ok,-33277.2828,63291.0,96568.2828,1931.3657,975.1763,947.1518,75,54,21,21,75311.0,170628.0,33369324,119,
VNS,ttd300,75,5,0.75,298.0,398.0,ttd300_n75_L5_f075,0,ok,-50913.0815,62126.0,113039.0815,2260.7816,975.2742,821.0287,73,63,10,10,73309.0,170628.0,22652491,,
SA,ttd300,75,1,1.0,374.0,374.0,ttd300_n75_L1_f100,0,ok,-34021.8296,58114.0,92135.8296,1842.7166,975.2764,975.2763,73,48,25,25,73309.0,170628.0,34150748,122,
VNS,ttd300,75,1,1.0,374.0,374.0,ttd300_n75_L1_f100,0,ok,-49976.1201,56112.0,106088.1201,2121.7624,975.0001,893.9129,69,60,9,10,69284.0,170628.0,17737278,,
VNS,ttd300,75,2,1.0,387.0,387.0,ttd300_n75_L2_f100,0,ok,-37490.8884,64498.0,101988.8884,2039.7778,975.0001,562.4284,74,63,11,11,74377.0,170628.0,14557617,,
SA,ttd300,75,2,1.0,387.0,387.0,ttd300_n75_L2_f100,0,ok,-28620.5357,64846.0,93466.5357,1869.3307,975.5379,975.5379,75,51,24,24,75382.0,170628.0,33823183,121,
SA,ttd300,75,3,1.0,363.0,363.0,ttd300_n75_L3_f100,0,ok,-32480.4757,63928.0,96408.4757,1928.1695,975.5727,975.5726,75,51,24,24,75381.0,170628.0,33708315,120,
VNS,ttd300,75,3,1.0,363.0,363.0,ttd300_n75_L3_f100,0,ok,-50112.0655,63332.0,113444.0655,2268.8813,976.9338,864.2011,74,62,12,12,74375.0,170628.0,5425318,,
VNS,ttd300,75,4,1.0,354.0,354.0,ttd300_n75_L4_f100,0,ok,-45357.6149,62416.0,107773.6149,2155.4723,975.0001,915.6703,74,64,10,10,74298.0,170628.0,11017921,,
SA,ttd300,75,4,1.0,354.0,354.0,ttd300_n75_L4_f100,0,ok,-35364.0222,62537.0,97901.0222,1958.0204,975.2808,975.2807,74,52,22,22,74304.0,170628.0,33781235,121,
SA,ttd300,75,5,1.0,398.0,398.0,ttd300_n75_L5_f100,0,ok,-35962.5846,63291.0,99253.5846,1985.0717,975.5447,975.5446,75,51,24,24,75311.0,170628.0,33548109,120,
VNS,ttd300,75,5,1.0,398.0,398.0,ttd300_n75_L5_f100,0,ok,-51037.6565,62195.0,113232.6565,2264.6531,975.6451,966.0614,73,63,10,10,73304.0,170628.0,14123011,,
VNS,ttd300,100,1,0.25,98.0,393.0,ttd300_n100_L1_f025,0,ok,-61507.9554,81024.0,142531.9554,2850.6391,1200.0889,811.0817,94,84,10,10,94475.0,227504.0,44109610,,
SA,ttd300,100,1,0.25,98.0,393.0,ttd300_n100_L1_f025,0,ok,-40871.9351,82220.0,123091.9351,2461.8387,1200.8696,1200.8695,96,64,32,33,96477.0,227504.0,33448695,89,
SA,ttd300,100,2,0.25,98.0,390.0,ttd300_n100_L2_f025,0,ok,-32489.9109,85234.0,117723.9109,2354.4782,1201.4562,1201.4561,100,64,36,36,100418.0,227504.0,33187065,89,
VNS,ttd300,100,2,0.25,98.0,390.0,ttd300_n100_L2_f025,0,ok,-49691.9103,83753.0,133444.9103,2668.8982,1201.2327,900.789,97,85,12,12,97405.0,227504.0,30700562,,
SA,ttd300,100,3,0.25,94.0,376.0,ttd300_n100_L3_f025,0,ok,-39819.5765,85751.0,125570.5765,2511.4115,1200.8093,1200.8092,99,69,30,30,99516.0,227504.0,32363097,87,
VNS,ttd300,100,3,0.25,94.0,376.0,ttd300_n100_L3_f025,0,ok,-52217.8872,85113.0,137330.8872,2746.6177,1200.5903,1169.9934,98,86,12,12,98508.0,227504.0,28095336,,
SA,ttd300,100,4,0.25,93.0,371.0,ttd300_n100_L4_f025,0,ok,-34093.7966,84996.0,119089.7966,2381.7959,1201.3441,1201.344,100,68,32,32,100434.0,227504.0,32153497,85,
VNS,ttd300,100,4,0.25,93.0,371.0,ttd300_n100_L4_f025,0,ok,-56566.3562,83197.0,139763.3562,2795.2671,1200.0649,1145.2953,96,86,10,10,96418.0,227504.0,19731404,,
VNS,ttd300,100,5,0.25,92.0,366.0,ttd300_n100_L5_f025,0,ok,-47885.2528,81744.0,129629.2528,2592.5851,1200.0453,387.3471,96,84,12,12,96491.0,227504.0,32231275,,
SA,ttd300,100,5,0.25,92.0,366.0,ttd300_n100_L5_f025,0,ok,-37838.7147,83859.0,121697.7147,2433.9543,1200.9947,1200.9946,100,65,35,35,100506.0,227504.0,31916170,85,
SA,ttd300,100,1,0.5,196.0,393.0,ttd300_n100_L1_f050,0,ok,-35011.7145,83943.0,118954.7145,2379.0943,1200.6137,1200.6136,100,70,30,30,100489.0,227504.0,30132034,80,
VNS,ttd300,100,1,0.5,196.0,393.0,ttd300_n100_L1_f050,0,ok,-56932.3189,81794.0,138726.3189,2774.5264,1201.3523,877.9549,95,83,12,12,95477.0,227504.0,15337544,,
SA,ttd300,100,2,0.5,195.0,390.0,ttd300_n100_L2_f050,0,ok,-29291.3149,85234.0,114525.3149,2290.5063,1200.8134,1200.8134,100,72,28,28,100418.0,227504.0,30730682,82,
VNS,ttd300,100,2,0.5,195.0,390.0,ttd300_n100_L2_f050,0,ok,-43257.1542,83650.0,126907.1542,2538.1431,1202.4294,1166.4946,97,85,12,13,97399.0,227504.0,12233021,,
SA,ttd300,100,3,0.5,188.0,376.0,ttd300_n100_L3_f050,0,ok,-32724.7464,86159.0,118883.7464,2377.6749,1200.6798,1200.6797,100,66,34,34,100519.0,227504.0,30733934,82,
VNS,ttd300,100,3,0.5,188.0,376.0,ttd300_n100_L3_f050,0,ok,-50514.112,86159.0,136673.112,2733.4622,1200.6609,672.6202,100,87,13,13,100519.0,227504.0,13078401,,
SA,ttd300,100,4,0.5,186.0,371.0,ttd300_n100_L4_f050,0,ok,-30777.9986,84996.0,115773.9986,2315.48,1200.2943,64.0216,100,73,27,27,100434.0,227504.0,30540405,81,
VNS,ttd300,100,4,0.5,186.0,371.0,ttd300_n100_L4_f050,0,ok,-43998.9406,83712.0,127710.9406,2554.2188,1200.0001,1115.3349,97,79,18,18,97424.0,227504.0,27403800,,
SA,ttd300,100,5,0.5,183.0,366.0,ttd300_n100_L5_f050,0,ok,-29251.9947,83859.0,113110.9947,2262.2199,1200.5764,1200.5763,100,72,28,28,100506.0,227504.0,31144709,83,
VNS,ttd300,100,5,0.5,183.0,366.0,ttd300_n100_L5_f050,0,ok,-49226.3249,82368.0,131594.3249,2631.8865,1200.6142,14.2245,97,87,10,10,97496.0,227504.0,22963157,,
SA,ttd300,100,1,0.75,295.0,393.0,ttd300_n100_L1_f075,0,ok,-37224.3766,83455.0,120679.3766,2413.5875,1201.0016,1201.0015,99,68,31,31,99483.0,227504.0,32118175,86,
VNS,ttd300,100,1,0.75,295.0,393.0,ttd300_n100_L1_f075,0,ok,-59989.5823,80010.0,139999.5823,2799.9916,1200.1165,1100.8696,92,82,10,10,92460.0,227504.0,15353020,,
SA,ttd300,100,2,0.75,292.0,390.0,ttd300_n100_L2_f075,0,ok,-29196.8471,84786.0,113982.8471,2279.6569,1200.7049,1200.7048,99,69,30,30,99415.0,227504.0,31259750,83,
VNS,ttd300,100,2,0.75,292.0,390.0,ttd300_n100_L2_f075,0,ok,-39912.6779,84722.0,124634.6779,2492.6936,1202.8798,1046.7698,99,86,13,13,99416.0,227504.0,8728472,,
