param,value,dataset,n,layout,ED_frac,ED,d_max,instance,seed,status,objective,profit,rental,arrival,time_s,time_to_best_s,n_items,n_truck,n_drone,n_rendv,W_final,W_capacity,evals,reheats,error,R,vmin,vD
vDfact,4,ttd300,10,1,1.0,306.0,306.0,ttd300_n10_L1_f100,1,ok,-28376.3275,5164.0,33540.3275,670.8065,120.0025,25.8134,6,3,3,5,6031.0,22750.0,13480305,336,,50.0,0.1,4.0
vmin,0.05,ttd300,10,1,1.0,306.0,306.0,ttd300_n10_L1_f100,1,ok,-29825.5477,7849.0,37674.5477,753.491,120.0023,2.1789,9,4,5,5,9048.0,22750.0,13861506,346,,50.0,0.05,2.0
vmin,0.1,ttd300,10,1,1.0,306.0,306.0,ttd300_n10_L1_f100,1,ok,-29669.7658,7849.0,37518.7658,750.3753,120.0023,4.9126,9,4,5,5,9048.0,22750.0,13943807,348,,50.0,0.1,2.0
vmin,0.25,ttd300,10,1,1.0,306.0,306.0,ttd300_n10_L1_f100,1,ok,-29193.3474,8573.0,37766.3474,755.3269,120.0023,0.4626,10,5,5,5,10052.0,22750.0,14017096,350,,50.0,0.25,2.0
vmin,0.5,ttd300,10,1,1.0,306.0,306.0,ttd300_n10_L1_f100,1,ok,-28067.682,8573.0,36640.682,732.8136,120.0025,1.9084,10,5,5,5,10052.0,22750.0,13421203,335,,50.0,0.5,2.0
vmin,0.9,ttd300,10,1,1.0,306.0,306.0,ttd300_n10_L1_f100,1,ok,-25911.6134,8573.0,34484.6134,689.6923,120.0025,0.1659,10,5,5,5,10052.0,22750.0,13818262,345,,50.0,0.9,2.0
R,1,ttd300,20,1,0.25,96.0,384.0,ttd300_n20_L1_f025,1,ok,16038.5581,17523.0,1484.4419,1484.4419,300.0165,1.4255,20,14,6,6,20078.0,45501.0,29965385,391,,1.0,0.1,2.0
R,100,ttd300,20,1,0.25,96.0,384.0,ttd300_n20_L1_f025,1,ok,-121756.6161,11144.0,132900.6161,1329.0062,300.0164,7.3098,13,8,5,6,13054.0,45501.0,30730675,401,,100.0,0.1,2.0
R,12.5,ttd300,20,1,0.25,96.0,384.0,ttd300_n20_L1_f025,1,ok,-1032.5234,17523.0,18555.5234,1484.4419,300.0167,5.1447,20,14,6,6,20078.0,45501.0,29740514,388,,12.5,0.1,2.0
R,200,ttd300,20,1,0.25,96.0,384.0,ttd300_n20_L1_f025,1,ok,-252461.5088,5967.0,258428.5088,1292.1425,300.0165,3.0276,7,5,2,6,7036.0,45501.0,31097843,406,,200.0,0.1,2.0
