n,ED_frac,param,value,n_layouts,objective,rental,arrival,n_truck,n_drone,n_rendv,n_items,profit,time_to_best_s,evals
20,0.5,vmin,0.25,1,-47825.3,63696.3,1273.9,11.0,7.0,8.0,18.0,15871.0,205.8,26716318.0
20,0.5,vmin,0.5,1,-45440.5,62963.5,1259.3,12.0,8.0,8.0,20.0,17523.0,18.2,26768507.0
20,0.5,vmin,0.9,1,-41635.7,59158.7,1183.2,13.0,7.0,7.0,20.0,17523.0,3.5,26400622.0
20,0.75,R,1,1,16591.5,931.5,931.5,11.0,9.0,9.0,20.0,17523.0,92.7,26915515.0
20,0.75,R,100,1,-73888.2,84382.2,843.8,6.0,6.0,9.0,12.0,10494.0,153.7,25412002.0
20,0.75,R,12.5,1,5914.2,11608.8,928.7,11.0,9.0,9.0,20.0,17523.0,188.9,25214066.0
20,0.75,R,200,1,-157952.4,167548.4,837.7,6.0,5.0,9.0,11.0,9596.0,8.0,25731525.0
20,0.75,R,25,1,-5764.0,23287.0,931.5,11.0,9.0,9.0,20.0,17523.0,300.3,25252310.0
20,0.75,R,50,1,-29438.9,46961.9,939.2,11.0,9.0,9.0,20.0,17523.0,300.3,25216543.0
20,0.75,Wcap,0.25,1,-36934.1,42993.1,859.9,4.0,3.0,9.0,7.0,6059.0,29.2,26244243.0
20,0.75,Wcap,0.5,1,-34388.0,43984.0,879.7,6.0,5.0,9.0,11.0,9596.0,300.3,25689573.0
20,0.75,Wcap,1,1,-29438.9,46961.9,939.2,11.0,9.0,9.0,20.0,17523.0,300.3,25181616.0
20,0.75,Wcap,2,1,-25730.2,43253.2,865.1,11.0,9.0,9.0,20.0,17523.0,132.6,24908164.0
20,0.75,Wcap,4,1,-24600.6,42123.6,842.5,11.0,9.0,9.0,20.0,17523.0,266.5,25168296.0
20,0.75,baseline,-,1,-29438.9,46961.9,939.2,11.0,9.0,9.0,20.0,17523.0,300.3,25268596.0
20,0.75,vDfact,0.5,1,-50335.9,63253.9,1265.1,13.0,2.0,2.0,15.0,12918.0,21.1,33529891.0
20,0.75,vDfact,1,1,-47050.4,64573.4,1291.5,15.0,5.0,5.0,20.0,17523.0,190.0,29722421.0
20,0.75,vDfact,2,1,-29438.9,46961.9,939.2,11.0,9.0,9.0,20.0,17523.0,300.3,25112198.0
20,0.75,vDfact,3,1,-24856.7,42379.7,847.6,11.0,9.0,9.0,20.0,17523.0,231.1,24485456.0
