factor,dataset,n,layout,ED_frac,ED,d_max,instance,seed,status,objective,profit,rental,arrival,time_s,time_to_best_s,n_items,n_truck,n_drone,n_rendv,W_final,W_capacity,evals,reheats,error,vD
2,ttd300,40,1,1.0,378.0,378.0,ttd300_n40_L1_f100,1,ok,-32515.4175,34418.0,66933.4175,1338.6684,600.0349,98.3492,40,24,16,16,40182.0,91001.0,33873936,226,,2.0
3,ttd300,40,1,1.0,378.0,378.0,ttd300_n40_L1_f100,1,ok,-27742.3284,33756.0,61498.3284,1229.9666,600.033,9.7851,39,22,17,17,39176.0,91001.0,32809179,219,,3.0
1,ttd300,40,1,1.0,378.0,378.0,ttd300_n40_L1_f100,1,ok,-40531.8616,32598.0,73129.8616,1462.5972,606.0504,606.0503,37,27,10,10,37164.0,91001.0,35683049,238,,1.0
0,ttd300,50,1,0.25,94.0,374.0,ttd300_n50_L1_f025,1,ok,-76863.5566,34580.0,111443.5566,2228.8711,750.2011,750.2011,40,40,0,0,40201.0,113752.0,49841008,268,,1e-06
0.5,ttd300,50,1,0.25,94.0,374.0,ttd300_n50_L1_f025,1,ok,-56178.2865,38062.0,94240.2865,1884.8057,750.6062,750.6061,46,40,6,6,46213.0,113752.0,45893250,247,,0.5
1,ttd300,50,1,0.25,94.0,374.0,ttd300_n50_L1_f025,1,ok,-50965.3576,40082.0,91047.3576,1820.9472,750.0899,750.0899,49,36,13,13,49231.0,113752.0,40772458,218,,1.0
2,ttd300,50,1,0.25,94.0,374.0,ttd300_n50_L1_f025,1,ok,-45766.8095,39357.0,85123.8095,1702.4762,750.0518,107.7074,48,30,18,18,48222.0,113752.0,39356856,211,,2.0
3,ttd300,50,1,0.25,94.0,374.0,ttd300_n50_L1_f025,1,ok,-42851.4094,40082.0,82933.4094,1658.6682,750.0514,327.2144,49,30,19,19,49231.0,113752.0,39098394,209,,3.0
0,ttd300,50,1,0.5,187.0,374.0,ttd300_n50_L1_f050,1,ok,-77068.9992,34580.0,111648.9992,2232.98,750.1492,750.1491,40,40,0,0,40201.0,113752.0,50166440,270,,1e-06
0.5,ttd300,50,1,0.5,187.0,374.0,ttd300_n50_L1_f050,1,ok,-54750.8262,37272.0,92022.8262,1840.4565,750.7662,750.7662,45,41,4,5,45212.0,113752.0,43381908,233,,0.5
